央視頻道,#genre#
CCTV-1综合,http://39.134.66.66/PLTV/88888888/224/3221225601/index.m3u8
CCTV-1综合,http://120.221.5.113:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV-1综合,http://112.17.40.140/PLTV/88888888/224/3221226541/index.m3u8
CCTV-1综合,http://121.31.30.87:8085/ysten-business/live/cctv-1/1.m3u8
CCTV-1综合,http://scgctvshow.sctv.com/hdlive/cctv1/1.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225678/index.m3u8
CCTV-2财经,http://120.221.5.101:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV-2财经,http://112.17.40.211/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228348/index.m3u8?fmt=ts2hls
CCTV-2财经,http://120.221.5.107:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV-2财经,http://39.134.185.234/PLTV/88888888/224/3221226138/index.m3u8
CCTV-3综艺,http://39.134.66.66/PLTV/88888888/224/3221225490/index.m3u8
CCTV-3综艺,http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-3综艺,http://112.17.40.140/PLTV/88888888/224/3221226485/index.m3u8
CCTV-3综艺,http://111.63.117.13:6060/030000001000/CCTV-3/CCTV-3.m3u8
CCTV-3综艺,http://121.31.30.87:8085/ysten-business/live/cctv-3/1.m3u8
CCTV-4国际,http://120.221.5.101:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV-4国际,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8
CCTV-5体育,http://39.134.66.66/PLTV/88888888/224/3221225606/index.m3u8
CCTV-5体育,http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV-5体育,http://39.134.168.91/PLTV/1/224/3221225556/index.m3u8
CCTV-5体育,http://121.31.30.87:8085/ysten-business/live/cctv-5/1.m3u8
CCTV-6电影,http://39.134.66.66/PLTV/88888888/224/3221225488/index.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV-6电影,http://223.110.243.139/PLTV/3/224/3221225548/index.m3u8
CCTV-6电影,http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV-6电影,http://121.31.30.91:8085/ysten-business/live/cctv-6/1.m3u8
CCTV-7军事,http://120.221.5.113:8089/PLTV/88888888/224/3221225753/index.m3u8
CCTV-7军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/index.m3u8
CCTV-8电视,http://39.134.168.91/PLTV/1/224/3221225562/index.m3u8
CCTV-8电视,http://121.31.30.91:8085/ysten-business/live/cctv-8/1.m3u8
CCTV-8电视,http://39.134.176.148/PLTV/88888888/224/3221226330/index.m3u8
CCTV-9纪录,http://120.221.5.113:8089/PLTV/88888888/224/3221225759/index.m3u8
CCTV-9纪录,http://39.135.135.30/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-9纪录,http://112.17.40.140/PLTV/88888888/224/3221226156/index.m3u8
CCTV-9纪录,http://121.31.30.87:8085/ysten-business/live/cctv-news/1.m3u8
CCTV-10科教,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8
CCTV-10科教,http://112.17.40.140/PLTV/88888888/224/3221226199/index.m3u8
CCTV-10科教,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10科教,http://117.156.28.21/PLTV/88888888/224/3221225718/index.m3u8
CCTV-11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8
CCTV-11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8
CCTV-11戏曲,http://117.169.120.160:8080/live/cctv-11/1.m3u8
CCTV-12社会,http://120.221.5.101:8089/PLTV/88888888/224/3221225763/index.m3u8
CCTV-12社会,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13新闻,http://112.50.243.8/PLTV/88888888/224/3221225817/1.m3u8
CCTV-13新闻,http://39.135.135.58/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/index.m3u8
CCTV-14少儿,http://117.148.187.37/PLTV/88888888/224/3221226126/index.m3u8
CCTV-14少儿,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-14少儿,http://117.169.120.160:8080/live/cctv-14/1.m3u8
CCTV-15音乐,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/1.m3u8
CCTV-15音乐,http://117.169.120.160:8080/live/cctv-15/1.m3u8
CCTV-5⁺体育,http://120.221.5.101:8089/PLTV/88888888/224/3221225781/index.m3u8
CCTV-17农业,http://120.221.5.113:8089/PLTV/88888888/224/3221226093/index.m3u8
CCTV-17农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
